Sıra;Türkçe Anlamı;Kelimenin İngilizcesi;Fonetik (IPA);Türkçe Okunuşu;Örnek Cümle (İngilizce);Örnek Cümle (Türkçe)
19;Doğru, tam, isabetli;accurate (adj.);/ˈækjərət/;ekyurıt;The report was strictly accurate.;Rapor tamamen doğruydu.
20;Suçlamak;accuse (v.);/əˈkjuːz/;ekyuz;Do not accuse him without proof.;Kanıt olmadan onu suçlama.
21;Başarmak, elde etmek;achieve (v.);/əˈtʃiːv/;eçiv;If you work hard, you will achieve your goals.;Çok çalışırsan hedeflerini başarırsın.
22;Başarı;achievement (n.);/əˈtʃiːvmənt/;eçivmınt;Winning the race was a great achievement.;Yarışı kazanmak büyük bir başarıydı.
23;Kabul etmek, tanımak;acknowledge (v.);/əkˈnɒlɪdʒ/;eknolıc;She refused to acknowledge his presence.;Onun varlığını kabul etmeyi reddetti.
24;Edinmek, kazanmak;acquire (v.);/əˈkwaɪər/;ekwayır;He wants to acquire new skills.;Yeni beceriler edinmek istiyor.
25;Karşıya, karşısında;across (prep., adv.);/əˈkrɒs/;ekros;They walked across the bridge.;Köprünün karşısına yürüdüler.
26;Hareket etmek, rol yapmak;act (v., n.);/ækt/;ekt;Stop talking and start to act.;Konuşmayı bırak ve harekete geç.
27;Eylem, hareket;action (n.);/ˈækʃn/;ekşın;We need to take immediate action.;Derhal harekete geçmemiz gerekiyor.
28;Aktif, etkin;active (adj.);/ˈæktɪv/;ektiv;My grandfather is still very active.;Büyükbabam hala çok aktif.
29;Aktivite, etkinlik;activity (n.);/ækˈtɪvəti/;ektiviti;Swimming is a healthy activity.;Yüzmek sağlıklı bir aktivitedir.
30;Erkek oyuncu;actor (n.);/ˈæktər/;ektır;Who is your favorite actor?;En sevdiğin aktör kim?
31;Kadın oyuncu;actress (n.);/ˈæktrəs/;ektrıs;She is a talented actress.;O yetenekli bir aktris.
32;Gerçek, asıl;actual (adj.);/ˈæktʃuəl/;ekçuıl;This is the actual cost of the project.;Bu projenin gerçek maliyetidir.
33;Aslında, gerçekten;actually (adv.);/ˈæktʃuəli/;ekçuıli;It looks small, but actually it is quite big.;Küçük görünüyor ama aslında oldukça büyük.
34;Reklam (kısaltma);ad (n.);/æd/;ed;I saw an ad for a new job.;Yeni bir iş için reklam gördüm.
35;Uyum sağlamak, adapte olmak;adapt (v.);/əˈdæpt/;edept;It is hard to adapt to a new culture.;Yeni bir kültüre uyum sağlamak zordur.
36;Eklemek, toplamak;add (v.);/æd/;ed;Please add some sugar to my tea.;Lütfen çayıma biraz şeker ekle.
37;Ek, ilave, toplama;addition (n.);/əˈdɪʃn/;edişın;In addition to apples, I bought bananas.;Elmalara ek olarak muz da aldım.
38;Ekstra, ilave;additional (adj.);/əˈdɪʃənl/;edişınıl;There will be an additional charge.;Ekstra bir ücret olacak.
39;Adres, hitap etmek;address (n., v.);/əˈdres/;edres;What is your home address?;Ev adresin nedir?
40;Yönetim, idare;administration (n.);/ədˌmɪnɪˈstreɪʃn/;edministreyşın;She works in the school administration.;Okul yönetiminde çalışıyor.
41;Hayran olmak;admire (v.);/ədˈmaɪər/;edmayır;I admire your courage.;Cesaretine hayranım.
42;İtiraf etmek, kabul etmek;admit (v.);/ədˈmɪt/;edmit;He refused to admit his mistake.;Hatasını kabul etmeyi reddetti.
43;Evlat edinmek, benimsemek;adopt (v.);/əˈdɒpt/;edopt;They decided to adopt a child.;Bir çocuk evlat edinmeye karar verdiler.
44;Yetişkin;adult (n., adj.);/ˈædʌlt/;edalt;This movie is for adults only.;Bu film sadece yetişkinler içindir.
45;İlerlemek, avans;advance (n., v.);/ədˈvɑːns/;edvans;Technology continues to advance rapidly.;Teknoloji hızla ilerlemeye devam ediyor.
46;Gelişmiş, ileri düzey;advanced (adj.);/ədˈvɑːnst/;edvanst;This is an advanced English course.;Bu ileri düzey bir İngilizce kursudur.
47;Avantaj;advantage (n.);/ədˈvɑːntɪdʒ/;edvantıc;One advantage of living here is the weather.;Burada yaşamanın bir avantajı havadır.
48;Macera;adventure (n.);/ədˈventʃər/;edvençır;Our trip was a great adventure.;Gezimiz harika bir maceraydı.
49;Reklam yapmak, ilan vermek;advertise (v.);/ˈædvətaɪz/;edvırtayz;Companies advertise on social media.;Şirketler sosyal medyada reklam yapıyor.
50;Reklam, ilan;advertisement (n.);/ədˈvɜːtɪsmənt/;edvırtısmınt;I put an advertisement in the newspaper.;Gazeteye bir ilan verdim.
